x,y,total_volume_new
4133835.22048694,2827877.19831109,6063.60154106413
4133835.22048693,2827777.19831106,11277.9739974075
4133835.22048696,2831677.19831218,0
4133835.22048696,2831577.19831215,0
4133835.22048689,2820677.198309,0
4133835.22048689,2820577.19830897,0
4133835.22048688,2819277.19830859,0
4133835.22048688,2819177.19830857,1486.19542258517
4133835.22048688,2819077.19830854,4795.86246946863
4133835.22048688,2818977.1983085,0
4133835.22048689,2819677.19830871,1409.08349999817
4133835.22048688,2819577.19830868,0
4133835.22048688,2819477.19830864,0
4133835.22048688,2819377.19830862,0
4133835.22048689,2820077.19830882,0
4133835.22048689,2819977.1983088,0
4133835.22048689,2819877.19830877,0
4133835.22048689,2819777.19830874,0
4133835.22048689,2820477.19830894,0
4133835.22048689,2820377.19830891,535.401934037358
4133835.22048689,2820277.19830888,0
4133835.22048689,2820177.19830885,3468.15500007421
4133835.22048691,2824077.19830999,0
4133835.22048691,2823977.19830995,0
4133835.22048691,2823877.19830993,0
4133835.22048691,2823777.1983099,391.895000008866
4133835.22048691,2824277.19831004,0
4133835.22048691,2824177.19831002,0
4133835.2204869,2822877.19830964,0
4133835.22048691,2823277.19830976,0
4133835.22048691,2823177.19830973,0
4133835.22048691,2823077.19830969,0
4133835.22048691,2822977.19830966,0
4133835.22048691,2823677.19830987,0
4133835.22048691,2823577.19830984,0
4133835.22048691,2823477.19830981,0
4133835.22048691,2823377.19830978,1614.12843447737
4133835.220487,2838877.19831425,0
4133835.220487,2838777.19831423,0
4133835.220487,2838677.1983142,0
4133835.220487,2838577.19831417,0
4133835.220487,2838977.19831428,0
4133835.22048701,2839677.19831448,0
4133835.22048703,2843677.19831563,0
4133835.22048703,2843577.1983156,0
4133835.22048703,2844077.19831574,0
4133835.22048703,2843977.19831572,0
4133835.22048703,2843777.19831566,0
4133835.22048704,2844277.1983158,0
4133835.22048703,2844177.19831577,0
4133835.22048698,2834477.19831299,0
4133835.22048698,2834377.19831296,1657.44590580137
4133835.22048697,2834277.19831293,0
4133835.22048698,2834677.19831305,0
4133835.22048698,2834577.19831302,0
4133835.22048696,2831977.19831227,0
4133835.22048696,2831877.19831224,0
4133835.22048696,2831777.19831221,844.421649463358
4133835.22048699,2836877.19831368,3382.19350003228
4133835.22048699,2836777.19831365,1365.37500003073
4133835.22048699,2836677.19831362,0
4133835.22048699,2836977.19831371,0
4133735.22048684,2814077.19830707,0
4133735.22048684,2813977.19830704,0
4133735.22048684,2813877.19830701,1091.62550002602
4133735.22048685,2814377.19830716,142.404125151411
4133735.22048685,2814277.19830713,457.245874865749
4133735.22048684,2814177.19830711,0
4133735.2204868,2807677.1983052,0
4133735.2204868,2807577.19830517,0
4133735.22048681,2807877.19830526,0
4133735.2204868,2807777.19830523,269.15867250167
4133735.22048682,2810877.19830614,3247.13799994793
4133735.22048682,2810777.19830611,494.662500011735
4133735.22048682,2810677.19830608,795.392000004649
4133735.22048683,2811277.19830626,0
4133735.22048683,2811177.19830623,0
4133735.22048683,2811077.1983062,0
4133735.22048682,2810977.19830617,0
4133735.22048683,2811677.19830637,0
4133735.22048683,2811577.19830634,0
4133735.22048683,2811477.19830632,322.559999998659
4133735.22048683,2811377.19830628,0
4133735.22048692,2827277.19831091,0
4133735.22048692,2827177.19831088,0
4133735.22048693,2827677.19831103,1078.31819138615
4133735.22048693,2827577.198311,0
4133735.22048693,2827477.19831097,0
4133735.22048693,2827377.19831094,0
4133735.22048693,2827977.19831112,0
4133735.22048693,2827877.19831109,0
4133735.22048693,2827777.19831106,1111.21261766893
4133735.22048688,2820477.19830894,3317.22708416432
4133735.22048688,2820377.19830891,1538.85641446517
4133735.22048688,2820277.19830889,192.258567342139
4133735.22048688,2820177.19830885,0
4133735.22048688,2820677.198309,0
4133735.22048688,2820577.19830897,0
4133735.22048687,2818877.19830847,0
4133735.22048687,2818777.19830845,0
4133735.22048687,2818677.19830842,0
4133735.22048687,2819077.19830854,3898.09280459365
4133735.22048687,2818977.1983085,0
4133735.22048688,2819677.19830871,914.179748885799
